,db_id,original_sql,rewritten_sql,activated_rules,latency_org,latency_new,original_logical_plan
0,dsb,"select avg(ss_quantity) ,avg(ss_ext_sales_price) ,avg(ss_ext_wholesale_cost) ,sum(ss_ext_wholesale_cost) from store_sales ,store ,customer_demographics ,household_demographics ,customer_address ,date_dim where s_store_sk = ss_store_sk and ss_sold_date_sk = d_date_sk and d_year = 2001 and((ss_hdemo_sk=hd_demo_sk and cd_demo_sk = ss_cdemo_sk and cd_marital_status = 'D' and cd_education_status = '4 yr Degree' and ss_sales_price between 100.00 and 150.00 and hd_dep_count = 3 )or (ss_hdemo_sk=hd_demo_sk and cd_demo_sk = ss_cdemo_sk and cd_marital_status = 'S' and cd_education_status = 'Advanced Degree' and ss_sales_price between 50.00 and 100.00 and hd_dep_count = 1 ) or (ss_hdemo_sk=hd_demo_sk and cd_demo_sk = ss_cdemo_sk and cd_marital_status = 'S' and cd_education_status = '2 yr Degree' and ss_sales_price between 150.00 and 200.00 and hd_dep_count = 1 )) and((ss_addr_sk = ca_address_sk and ca_country = 'United States' and ca_state in ('GA', 'MD', 'MS') and ss_net_profit between 100 and 200 ) or (ss_addr_sk = ca_address_sk and ca_country = 'United States' and ca_state in ('FL', 'IN', 'PA') and ss_net_profit between 150 and 300 ) or (ss_addr_sk = ca_address_sk and ca_country = 'United States' and ca_state in ('AL', 'KS', 'TX') and ss_net_profit between 50 and 250 ))  ;","SELECT AVG(store_sales.ss_quantity), AVG(store_sales.ss_ext_sales_price), AVG(store_sales.ss_ext_wholesale_cost), SUM(store_sales.ss_ext_wholesale_cost) FROM store_sales, store, customer_demographics, household_demographics, customer_address, date_dim WHERE store.s_store_sk = store_sales.ss_store_sk AND store_sales.ss_sold_date_sk = date_dim.d_date_sk AND date_dim.d_year = 2001 AND (store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk AND (customer_demographics.cd_demo_sk = store_sales.ss_cdemo_sk AND customer_demographics.cd_marital_status = 'D') AND (customer_demographics.cd_education_status = '4 yr Degree' AND (store_sales.ss_sales_price >= 100.00 AND store_sales.ss_sales_price <= 150.00 AND household_demographics.hd_dep_count = 3)) OR store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk AND (customer_demographics.cd_demo_sk = store_sales.ss_cdemo_sk AND customer_demographics.cd_marital_status = 'S') AND (customer_demographics.cd_education_status = 'Advanced Degree' AND (store_sales.ss_sales_price >= 50.00 AND store_sales.ss_sales_price <= 100.00 AND household_demographics.hd_dep_count = 1)) OR store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk AND (customer_demographics.cd_demo_sk = store_sales.ss_cdemo_sk AND customer_demographics.cd_marital_status = 'S') AND (customer_demographics.cd_education_status = '2 yr Degree' AND (store_sales.ss_sales_price >= 150.00 AND store_sales.ss_sales_price <= 200.00 AND household_demographics.hd_dep_count = 1))) AND (store_sales.ss_addr_sk = customer_address.ca_address_sk AND customer_address.ca_country = 'United States' AND customer_address.ca_state IN ('GA', 'MD', 'MS') AND (store_sales.ss_net_profit >= 100 AND store_sales.ss_net_profit <= 200) OR store_sales.ss_addr_sk = customer_address.ca_address_sk AND customer_address.ca_country = 'United States' AND customer_address.ca_state IN ('FL', 'IN', 'PA') AND (store_sales.ss_net_profit >= 150 AND store_sales.ss_net_profit <= 300) OR store_sales.ss_addr_sk = customer_address.ca_address_sk AND customer_address.ca_country = 'United States' AND customer_address.ca_state IN ('AL', 'KS', 'TX') AND (store_sales.ss_net_profit >= 50 AND store_sales.ss_net_profit <= 250))","['FILTER_REDUCE_EXPRESSIONS', 'FILTER_MERGE', 'FILTER_MULTI_JOIN_MERGE', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_SCAN', 'JOIN_CONDITION_PUSH', 'JOIN_REDUCE_EXPRESSIONS']",10.14605872,6.318700314,"['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]"
1,dsb,"select avg(ss_quantity) ,avg(ss_ext_sales_price) ,avg(ss_ext_wholesale_cost) ,sum(ss_ext_wholesale_cost) from store_sales ,store ,customer_demographics ,household_demographics ,customer_address ,date_dim where s_store_sk = ss_store_sk and ss_sold_date_sk = d_date_sk and d_year = 2001 and((ss_hdemo_sk=hd_demo_sk and cd_demo_sk = ss_cdemo_sk and cd_marital_status = 'D' and cd_education_status = '4 yr Degree' and ss_sales_price between 100.00 and 150.00 and hd_dep_count = 3 )or (ss_hdemo_sk=hd_demo_sk and cd_demo_sk = ss_cdemo_sk and cd_marital_status = 'S' and cd_education_status = 'Primary' and ss_sales_price between 50.00 and 100.00 and hd_dep_count = 1 ) or (ss_hdemo_sk=hd_demo_sk and cd_demo_sk = ss_cdemo_sk and cd_marital_status = 'W' and cd_education_status = 'Advanced Degree' and ss_sales_price between 150.00 and 200.00 and hd_dep_count = 1 )) and((ss_addr_sk = ca_address_sk and ca_country = 'United States' and ca_state in ('GA', 'TN', 'TX') and ss_net_profit between 100 and 200 ) or (ss_addr_sk = ca_address_sk and ca_country = 'United States' and ca_state in ('GA', 'KY', 'NE') and ss_net_profit between 150 and 300 ) or (ss_addr_sk = ca_address_sk and ca_country = 'United States' and ca_state in ('CO', 'NM', 'TX') and ss_net_profit between 50 and 250 ))  ;","SELECT AVG(store_sales82.ss_quantity), AVG(store_sales82.ss_ext_sales_price), AVG(store_sales82.ss_ext_wholesale_cost), SUM(store_sales82.ss_ext_wholesale_cost) FROM store_sales AS store_sales82 INNER JOIN store AS store82 ON store_sales82.ss_store_sk = store82.s_store_sk CROSS JOIN customer_demographics AS customer_demographics82 INNER JOIN household_demographics AS household_demographics82 ON store_sales82.ss_hdemo_sk = household_demographics82.hd_demo_sk AND (customer_demographics82.cd_demo_sk = store_sales82.ss_cdemo_sk AND customer_demographics82.cd_marital_status = 'D') AND (customer_demographics82.cd_education_status = '4 yr Degree' AND (store_sales82.ss_sales_price >= 100.00 AND store_sales82.ss_sales_price <= 150.00 AND household_demographics82.hd_dep_count = 3)) OR store_sales82.ss_hdemo_sk = household_demographics82.hd_demo_sk AND (customer_demographics82.cd_demo_sk = store_sales82.ss_cdemo_sk AND customer_demographics82.cd_marital_status = 'S') AND (customer_demographics82.cd_education_status = 'Primary' AND (store_sales82.ss_sales_price >= 50.00 AND store_sales82.ss_sales_price <= 100.00 AND household_demographics82.hd_dep_count = 1)) OR store_sales82.ss_hdemo_sk = household_demographics82.hd_demo_sk AND (customer_demographics82.cd_demo_sk = store_sales82.ss_cdemo_sk AND customer_demographics82.cd_marital_status = 'W') AND (customer_demographics82.cd_education_status = 'Advanced Degree' AND (store_sales82.ss_sales_price >= 150.00 AND store_sales82.ss_sales_price <= 200.00 AND household_demographics82.hd_dep_count = 1)) INNER JOIN customer_address AS customer_address82 ON store_sales82.ss_addr_sk = customer_address82.ca_address_sk AND customer_address82.ca_country = 'United States' AND customer_address82.ca_state IN ('GA', 'TN', 'TX') AND (store_sales82.ss_net_profit >= 100 AND store_sales82.ss_net_profit <= 200) OR store_sales82.ss_addr_sk = customer_address82.ca_address_sk AND customer_address82.ca_country = 'United States' AND customer_address82.ca_state IN ('GA', 'KY', 'NE') AND (store_sales82.ss_net_profit >= 150 AND store_sales82.ss_net_profit <= 300) OR store_sales82.ss_addr_sk = customer_address82.ca_address_sk AND customer_address82.ca_country = 'United States' AND customer_address82.ca_state IN ('CO', 'NM', 'TX') AND (store_sales82.ss_net_profit >= 50 AND store_sales82.ss_net_profit <= 250) INNER JOIN (SELECT * FROM date_dim WHERE d_year = 2001) AS t387 ON store_sales82.ss_sold_date_sk = t387.d_date_sk",['FILTER_INTO_JOIN'],9.885377328,2.170616388,"['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]"
2,dsb,"select c_customer_id as customer_id  , coalesce(c_last_name,'') || ', ' || coalesce(c_first_name,'') as customername from customer ,customer_address ,customer_demographics ,household_demographics ,income_band ,store_returns where ca_city  = 'Antioch' and c_current_addr_sk = ca_address_sk and ib_lower_bound >= 11990 and ib_upper_bound <= 11990 + 50000 and ib_income_band_sk = hd_income_band_sk and cd_demo_sk = c_current_cdemo_sk and hd_demo_sk = c_current_hdemo_sk and sr_cdemo_sk = cd_demo_sk order by c_customer_id limit 100 ;","SELECT customer82.c_customer_id AS customer_id, customer82.c_last_name || ', ' || customer82.c_first_name AS customername FROM customer AS customer82 INNER JOIN (SELECT * FROM customer_address WHERE ca_city = 'Antioch') AS t528 ON customer82.c_current_addr_sk = t528.ca_address_sk INNER JOIN customer_demographics AS customer_demographics82 ON customer82.c_current_cdemo_sk = customer_demographics82.cd_demo_sk INNER JOIN household_demographics AS household_demographics82 ON customer82.c_current_hdemo_sk = household_demographics82.hd_demo_sk INNER JOIN (SELECT * FROM income_band WHERE ib_lower_bound >= 11990 AND ib_upper_bound <= 11990 + 50000) AS t529 ON household_demographics82.hd_income_band_sk = t529.ib_income_band_sk INNER JOIN store_returns AS store_returns82 ON customer_demographics82.cd_demo_sk = store_returns82.sr_cdemo_sk ORDER BY customer82.c_customer_id LIMIT 100",['FILTER_INTO_JOIN'],0.178946733,0.175053994,"['LogicalSort', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]"
3,dsb,"select c_customer_id as customer_id  , coalesce(c_last_name,'') || ', ' || coalesce(c_first_name,'') as customername from customer ,customer_address ,customer_demographics ,household_demographics ,income_band ,store_returns where ca_city  = 'Bridgeport' and c_current_addr_sk = ca_address_sk and ib_lower_bound >= 2184 and ib_upper_bound <= 2184 + 50000 and ib_income_band_sk = hd_income_band_sk and cd_demo_sk = c_current_cdemo_sk and hd_demo_sk = c_current_hdemo_sk and sr_cdemo_sk = cd_demo_sk order by c_customer_id limit 100 ;","SELECT customer.c_customer_id AS customer_id, customer.c_last_name || ', ' || customer.c_first_name AS customername FROM customer INNER JOIN (SELECT * FROM customer_address WHERE ca_city = 'Bridgeport') AS t ON customer.c_current_addr_sk = t.ca_address_sk INNER JOIN customer_demographics ON customer.c_current_cdemo_sk = customer_demographics.cd_demo_sk INNER JOIN household_demographics ON customer.c_current_hdemo_sk = household_demographics.hd_demo_sk INNER JOIN (SELECT * FROM income_band WHERE ib_lower_bound >= 2184 AND ib_upper_bound <= 2184 + 50000) AS t0 ON household_demographics.hd_income_band_sk = t0.ib_income_band_sk INNER JOIN store_returns ON customer_demographics.cd_demo_sk = store_returns.sr_cdemo_sk ORDER BY customer.c_customer_id LIMIT 100;","['FILTER_SCAN', 'FILTER_REDUCE_EXPRESSIONS', 'FILTER_TABLE_FUNCTION_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_SET_OP_TRANSPOSE', 'AGGREGATE_REMOVE', 'PROJECT_REDUCE_EXPRESSIONS']",0.179685275,0.176012437,"['LogicalSort', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]"
4,dsb,"select c_customer_id as customer_id  , coalesce(c_last_name,'') || ', ' || coalesce(c_first_name,'') as customername from customer ,customer_address ,customer_demographics ,household_demographics ,income_band ,store_returns where ca_city  = 'Lakeview' and c_current_addr_sk = ca_address_sk and ib_lower_bound >= 27129 and ib_upper_bound <= 27129 + 50000 and ib_income_band_sk = hd_income_band_sk and cd_demo_sk = c_current_cdemo_sk and hd_demo_sk = c_current_hdemo_sk and sr_cdemo_sk = cd_demo_sk order by c_customer_id limit 100 ;","SELECT t4.c_customer_id AS customer_id, t4.c_last_name || ', ' || t4.c_first_name AS customername FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM customer, (SELECT * FROM customer_address WHERE ca_city = 'Lakeview') AS t WHERE customer.c_current_addr_sk = t.ca_address_sk) AS t0, customer_demographics WHERE customer_demographics.cd_demo_sk = t0.c_current_cdemo_sk) AS t1, household_demographics WHERE household_demographics.hd_demo_sk = t1.c_current_hdemo_sk) AS t2, (SELECT * FROM income_band WHERE ib_lower_bound >= 27129 AND ib_upper_bound <= 27129 + 50000) AS t3 WHERE t3.ib_income_band_sk = t2.hd_income_band_sk) AS t4, store_returns WHERE store_returns.sr_cdemo_sk = t4.cd_demo_sk ORDER BY t4.c_customer_id LIMIT 100;","['FILTER_SCAN', 'FILTER_CORRELATE', 'FILTER_TABLE_FUNCTION_TRANSPOSE', 'FILTER_REDUCE_EXPRESSIONS', 'FILTER_MERGE', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_INTO_JOIN', 'JOIN_EXTRACT_FILTER', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'SORT_JOIN_TRANSPOSE', 'SORT_PROJECT_TRANSPOSE', 'SORT_UNION_TRANSPOSE', 'SORT_REMOVE_CONSTANT_KEYS', 'SORT_REMOVE']",0.180530787,0.169523398,"['LogicalSort', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]"
5,dsb,"select c_customer_id as customer_id  , coalesce(c_last_name,'') || ', ' || coalesce(c_first_name,'') as customername from customer ,customer_address ,customer_demographics ,household_demographics ,income_band ,store_returns where ca_city  = 'Springdale' and c_current_addr_sk = ca_address_sk and ib_lower_bound >= 28254 and ib_upper_bound <= 28254 + 50000 and ib_income_band_sk = hd_income_band_sk and cd_demo_sk = c_current_cdemo_sk and hd_demo_sk = c_current_hdemo_sk and sr_cdemo_sk = cd_demo_sk order by c_customer_id limit 100 ;","SELECT t4.c_customer_id AS customer_id, t4.c_last_name || ', ' || t4.c_first_name AS customername FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM customer, (SELECT * FROM customer_address WHERE ca_city = 'Springdale') AS t WHERE customer.c_current_addr_sk = t.ca_address_sk) AS t0, customer_demographics WHERE customer_demographics.cd_demo_sk = t0.c_current_cdemo_sk) AS t1, household_demographics WHERE household_demographics.hd_demo_sk = t1.c_current_hdemo_sk) AS t2, (SELECT * FROM income_band WHERE ib_lower_bound >= 28254 AND ib_upper_bound <= 28254 + 50000) AS t3 WHERE t3.ib_income_band_sk = t2.hd_income_band_sk) AS t4, store_returns WHERE store_returns.sr_cdemo_sk = t4.cd_demo_sk ORDER BY t4.c_customer_id LIMIT 100;","['FILTER_SCAN', 'FILTER_TABLE_FUNCTION_TRANSPOSE', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_INTO_JOIN', 'FILTER_AGGREGATE_TRANSPOSE', 'FILTER_REDUCE_EXPRESSIONS', 'FILTER_MERGE', 'JOIN_CONDITION_PUSH', 'JOIN_EXTRACT_FILTER', 'AGGREGATE_ANY_PULL_UP_CONSTANTS', 'AGGREGATE_PROJECT_MERGE']",0.187077045,0.175132672,"['LogicalSort', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]"
6,dsb,"select c_customer_id as customer_id  , coalesce(c_last_name,'') || ', ' || coalesce(c_first_name,'') as customername from customer ,customer_address ,customer_demographics ,household_demographics ,income_band ,store_returns where ca_city  = 'Union Hill' and c_current_addr_sk = ca_address_sk and ib_lower_bound >= 9365 and ib_upper_bound <= 9365 + 50000 and ib_income_band_sk = hd_income_band_sk and cd_demo_sk = c_current_cdemo_sk and hd_demo_sk = c_current_hdemo_sk and sr_cdemo_sk = cd_demo_sk order by c_customer_id limit 100 ;","SELECT t4.c_customer_id AS customer_id, t4.c_last_name || ', ' || t4.c_first_name AS customername FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM customer, (SELECT * FROM customer_address WHERE ca_city = 'Union Hill') AS t WHERE customer.c_current_addr_sk = t.ca_address_sk) AS t0, customer_demographics WHERE customer_demographics.cd_demo_sk = t0.c_current_cdemo_sk) AS t1, household_demographics WHERE household_demographics.hd_demo_sk = t1.c_current_hdemo_sk) AS t2, (SELECT * FROM income_band WHERE ib_lower_bound >= 9365 AND ib_upper_bound <= 9365 + 50000) AS t3 WHERE t3.ib_income_band_sk = t2.hd_income_band_sk) AS t4, store_returns WHERE store_returns.sr_cdemo_sk = t4.cd_demo_sk ORDER BY t4.c_customer_id LIMIT 100;","['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_CORRELATE', 'FILTER_MERGE', 'FILTER_TABLE_FUNCTION_TRANSPOSE', 'FILTER_MULTI_JOIN_MERGE', 'FILTER_AGGREGATE_TRANSPOSE', 'FILTER_INTO_JOIN', 'FILTER_REDUCE_EXPRESSIONS', 'JOIN_EXTRACT_FILTER', 'JOIN_CONDITION_PUSH', 'JOIN_PROJECT_LEFT_TRANSPOSE']",0.260300239,0.177526712,"['LogicalSort', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]"
7,dsb,"select cc_call_center_id Call_Center,  cc_name Call_Center_Name,  cc_manager Manager,  sum(cr_net_loss) Returns_Loss from  call_center,  catalog_returns,  date_dim,  customer,  customer_address,  customer_demographics,  household_demographics where  cr_call_center_sk = cc_call_center_sk and cr_returned_date_sk = d_date_sk and cr_returning_customer_sk= c_customer_sk and cd_demo_sk  = c_current_cdemo_sk and hd_demo_sk  = c_current_hdemo_sk and ca_address_sk = c_current_addr_sk and d_year  = 1998 and d_moy  = 1 and ( (cd_marital_status = 'M' and cd_education_status = 'Unknown')  or(cd_marital_status = 'W' and cd_education_status = 'Advanced Degree')) and hd_buy_potential like '0-500%' and ca_gmt_offset = -6 group by cc_call_center_id,cc_name,cc_manager,cd_marital_status,cd_education_status order by sum(cr_net_loss) desc ;","SELECT call_center.cc_call_center_id AS Call_Center, call_center.cc_name AS Call_Center_Name, call_center.cc_manager AS Manager, SUM(catalog_returns.cr_net_loss) AS Returns_Loss FROM call_center, catalog_returns, date_dim, customer, customer_address, customer_demographics, household_demographics WHERE catalog_returns.cr_call_center_sk = call_center.cc_call_center_sk AND catalog_returns.cr_returned_date_sk = date_dim.d_date_sk AND (catalog_returns.cr_returning_customer_sk = customer.c_customer_sk AND (customer_demographics.cd_demo_sk = customer.c_current_cdemo_sk AND household_demographics.hd_demo_sk = customer.c_current_hdemo_sk)) AND (customer_address.ca_address_sk = customer.c_current_addr_sk AND (date_dim.d_year = 1998 AND date_dim.d_moy = 1) AND ((customer_demographics.cd_marital_status = 'M' AND customer_demographics.cd_education_status = 'Unknown' OR customer_demographics.cd_marital_status = 'W' AND customer_demographics.cd_education_status = 'Advanced Degree') AND (household_demographics.hd_buy_potential LIKE '0-500%' AND customer_address.ca_gmt_offset = -6))) GROUP BY call_center.cc_call_center_id, call_center.cc_name, call_center.cc_manager, customer_demographics.cd_marital_status, customer_demographics.cd_education_status ORDER BY SUM(catalog_returns.cr_net_loss) DESC","['FILTER_SCAN', 'FILTER_REDUCE_EXPRESSIONS', 'PROJECT_REDUCE_EXPRESSIONS']",0.090425968,0.089796384,"['LogicalSort', ['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]]]"
8,dsb,"select cc_call_center_id Call_Center,  cc_name Call_Center_Name,  cc_manager Manager,  sum(cr_net_loss) Returns_Loss from  call_center,  catalog_returns,  date_dim,  customer,  customer_address,  customer_demographics,  household_demographics where  cr_call_center_sk = cc_call_center_sk and cr_returned_date_sk = d_date_sk and cr_returning_customer_sk= c_customer_sk and cd_demo_sk  = c_current_cdemo_sk and hd_demo_sk  = c_current_hdemo_sk and ca_address_sk = c_current_addr_sk and d_year  = 1998 and d_moy  = 11 and ( (cd_marital_status = 'M' and cd_education_status = 'Unknown')  or(cd_marital_status = 'W' and cd_education_status = 'Advanced Degree')) and hd_buy_potential like '1001-5000%' and ca_gmt_offset = -7 group by cc_call_center_id,cc_name,cc_manager,cd_marital_status,cd_education_status order by sum(cr_net_loss) desc ;","SELECT call_center.cc_call_center_id AS Call_Center, call_center.cc_name AS Call_Center_Name, call_center.cc_manager AS Manager, SUM(catalog_returns.cr_net_loss) AS Returns_Loss FROM call_center INNER JOIN catalog_returns ON call_center.cc_call_center_sk = catalog_returns.cr_call_center_sk INNER JOIN (SELECT * FROM date_dim WHERE d_year = 1998 AND d_moy = 11) AS t ON catalog_returns.cr_returned_date_sk = t.d_date_sk INNER JOIN customer ON catalog_returns.cr_returning_customer_sk = customer.c_customer_sk INNER JOIN (SELECT * FROM customer_address WHERE ca_gmt_offset = -7) AS t0 ON customer.c_current_addr_sk = t0.ca_address_sk INNER JOIN (SELECT * FROM customer_demographics WHERE cd_marital_status = 'M' AND cd_education_status = 'Unknown' OR cd_marital_status = 'W' AND cd_education_status = 'Advanced Degree') AS t1 ON customer.c_current_cdemo_sk = t1.cd_demo_sk INNER JOIN (SELECT * FROM household_demographics WHERE hd_buy_potential LIKE '1001-5000%') AS t2 ON customer.c_current_hdemo_sk = t2.hd_demo_sk GROUP BY call_center.cc_call_center_id, call_center.cc_name, call_center.cc_manager, t1.cd_marital_status, t1.cd_education_status ORDER BY SUM(catalog_returns.cr_net_loss) DESC;","['AGGREGATE_PROJECT_MERGE', 'FILTER_INTO_JOIN', 'FILTER_REDUCE_EXPRESSIONS', 'FILTER_MERGE', 'PROJECT_REDUCE_EXPRESSIONS', 'SORT_REMOVE_CONSTANT_KEYS']",0.151118914,0.125223557,"['LogicalSort', ['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]]]"
9,dsb,"select cc_call_center_id Call_Center,  cc_name Call_Center_Name,  cc_manager Manager,  sum(cr_net_loss) Returns_Loss from  call_center,  catalog_returns,  date_dim,  customer,  customer_address,  customer_demographics,  household_demographics where  cr_call_center_sk = cc_call_center_sk and cr_returned_date_sk = d_date_sk and cr_returning_customer_sk= c_customer_sk and cd_demo_sk  = c_current_cdemo_sk and hd_demo_sk  = c_current_hdemo_sk and ca_address_sk = c_current_addr_sk and d_year  = 1998 and d_moy  = 3 and ( (cd_marital_status = 'M' and cd_education_status = 'Unknown')  or(cd_marital_status = 'W' and cd_education_status = 'Advanced Degree')) and hd_buy_potential like '0-500%' and ca_gmt_offset = -7 group by cc_call_center_id,cc_name,cc_manager,cd_marital_status,cd_education_status order by sum(cr_net_loss) desc ;","SELECT t276.cc_call_center_id AS Call_Center, t276.cc_name AS Call_Center_Name, t276.cc_manager AS Manager, SUM(t276.cr_net_loss) AS Returns_Loss FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM call_center AS call_center18, catalog_returns AS catalog_returns18 WHERE catalog_returns18.cr_call_center_sk = call_center18.cc_call_center_sk) AS t269, (SELECT * FROM date_dim WHERE d_year = 1998 AND d_moy = 3) AS t270 WHERE t269.cr_returned_date_sk = t270.d_date_sk) AS t271, customer AS customer18 WHERE t271.cr_returning_customer_sk = customer18.c_customer_sk) AS t272, (SELECT * FROM customer_address WHERE ca_gmt_offset = -7) AS t273 WHERE t273.ca_address_sk = t272.c_current_addr_sk) AS t274, (SELECT * FROM customer_demographics WHERE cd_marital_status = 'M' AND cd_education_status = 'Unknown' OR cd_marital_status = 'W' AND cd_education_status = 'Advanced Degree') AS t275 WHERE t275.cd_demo_sk = t274.c_current_cdemo_sk) AS t276, (SELECT * FROM household_demographics WHERE hd_buy_potential LIKE '0-500%') AS t277 WHERE t277.hd_demo_sk = t276.c_current_hdemo_sk GROUP BY t276.cc_call_center_id, t276.cc_name, t276.cc_manager, t276.cd_marital_status, t276.cd_education_status ORDER BY SUM(t276.cr_net_loss) DESC","['FILTER_INTO_JOIN', 'JOIN_EXTRACT_FILTER', 'PROJECT_TO_CALC']",0.095000664,0.087839603,"['LogicalSort', ['LogicalProject', ['LogicalAggregate', ['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']], ['LogicalTableScan']]]]]]]"
